k,keywords,train_recall,train_estimated_total_cost,test_recall,test_estimated_total_cost,train_cost_pct,test_cost_pct
1,"[""price""]",0.5562913907284768,3.22308525,0.5416666666666666,0.8857954166666667,0.4533618448146035,0.444701231235043
2,"[""price"", ""oil""]",0.5667752442996743,3.7315460000000003,0.5616438356164384,1.0199543333333334,0.524882355677857,0.5120538437009495
3,"[""price"", ""oil"", ""cost""]",0.5806451612903226,4.868787,0.56,1.3370689999999998,0.6848476180794036,0.6712568380447603
4,"[""price"", ""oil"", ""cost"", ""gas""]",0.5870967741935483,4.97760375,0.56,1.4375425000000002,0.7001538723979108,0.7216981570172968
5,"[""price"", ""oil"", ""cost"", ""gas"", ""market""]",0.5903225806451613,6.78621825,0.5866666666666667,1.870276,0.9545550882138567,0.9389459736416014
6,"[""price"", ""oil"", ""cost"", ""gas"", ""market"", ""commodity""]",0.5903225806451613,6.80447075,0.5866666666666667,1.8764241666666668,0.9571225000043077,0.9420325749437323
7,"[""price"", ""oil"", ""cost"", ""gas"", ""market"", ""commodity"", ""steel""]",0.5903225806451613,7.0072695,0.5866666666666667,1.9192917499999997,0.9856483404008951,0.9635536471119999
8,"[""price"", ""oil"", ""cost"", ""gas"", ""market"", ""commodity"", ""steel"", ""copper""]",0.5903225806451613,7.020279,0.5866666666666667,1.9226803333333333,0.9874782674622771,0.9652548381004864
9,"[""price"", ""oil"", ""cost"", ""gas"", ""market"", ""commodity"", ""steel"", ""copper"", ""aluminum""]",0.5903225806451613,7.020279,0.5866666666666667,1.9226803333333333,0.9874782674622771,0.9652548381004864
10,"[""price"", ""oil"", ""cost"", ""gas"", ""market"", ""commodity"", ""steel"", ""copper"", ""aluminum"", ""gold""]",0.5903225806451613,7.109299750000001,0.5866666666666667,1.9918888333333333,1.0,1.0
